Entrance_Latitude,Entrance_Longitude,entrance_georeference
40.713885,-73.9900148,POINT (-73.9900148 40.713885)
40.7144001,-73.9899,POINT (-73.9899 40.7144001)
40.70138,-73.986655,POINT (-73.986655 40.70138)
40.6855861,-73.991461,POINT (-73.991461 40.6855861)
40.6854562,-73.9911364,POINT (-73.9911364 40.6854562)
40.6867325,-73.9906886,POINT (-73.9906886 40.6867325)
40.6868716,-73.9905133,POINT (-73.9905133 40.6868716)
40.6866112,-73.9904,POINT (-73.9904 40.6866112)
40.6867354,-73.9902909,POINT (-73.9902909 40.6867354)
40.6792701,-73.9957771,POINT (-73.9957771 40.6792701)
40.6793588,-73.9952827,POINT (-73.9952827 40.6793588)
40.6811236,-73.9944306,POINT (-73.9944306 40.6811236)
40.6808116,-73.9943493,POINT (-73.9943493 40.6808116)
40.6809521,-73.994253,POINT (-73.994253 40.6809521)
40.6746146,-73.9972884,POINT (-73.9972884 40.6746146)
40.669953,-73.989442,POINT (-73.989442 40.669953)
40.6700448,-73.9892527,POINT (-73.9892527 40.6700448)
40.6698741,-73.9888912,POINT (-73.9888912 40.6698741)
40.6667886,-73.9818356,POINT (-73.9818356 40.6667886)
40.667112,-73.981716,POINT (-73.981716 40.667112)
40.666649,-73.981624,POINT (-73.981624 40.666649)
40.6670215,-73.9813425,POINT (-73.9813425 40.6670215)
40.665593,-73.979509,POINT (-73.979509 40.665593)
40.665502,-73.9792962,POINT (-73.9792962 40.665502)
40.6660243,-73.9791546,POINT (-73.9791546 40.6660243)
40.665835,-73.979007,POINT (-73.979007 40.665835)
40.6671112,-73.9815192,POINT (-73.9815192 40.6671112)
40.6594527,-73.9799593,POINT (-73.9799593 40.6594527)
40.6614242,-73.979806,POINT (-73.979806 40.6614242)
40.660198,-73.979787,POINT (-73.979787 40.660198)
40.660705,-73.979522,POINT (-73.979522 40.660705)
40.6613624,-73.9793129,POINT (-73.9793129 40.6613624)
40.660763,-73.978992,POINT (-73.978992 40.660763)
40.6518513,-73.9760848,POINT (-73.9760848 40.6518513)
40.652665,-73.975901,POINT (-73.975901 40.652665)
40.6498642,-73.9758157,POINT (-73.9758157 40.6498642)
40.6516288,-73.9756084,POINT (-73.9756084 40.6516288)
40.6449233,-73.9800183,POINT (-73.9800183 40.6449233)
40.6430404,-73.9796519,POINT (-73.9796519 40.6430404)
40.645042,-73.979573,POINT (-73.979573 40.645042)
40.6425703,-73.9795636,POINT (-73.9795636 40.6425703)
40.6431658,-73.9793426,POINT (-73.9793426 40.6431658)
40.6427129,-73.9792618,POINT (-73.9792618 40.6427129)
40.6433778,-73.9796861,POINT (-73.9796861 40.6433778)
40.6371339,-73.9784986,POINT (-73.9784986 40.6371339)
40.63546,-73.9782992,POINT (-73.9782992 40.63546)
40.6371532,-73.9782413,POINT (-73.9782413 40.6371532)
40.635389,-73.977914,POINT (-73.977914 40.635389)
40.630531,-73.977251,POINT (-73.977251 40.630531)
40.630562,-73.976995,POINT (-73.976995 40.630562)
40.628674,-73.976892,POINT (-73.976892 40.628674)
40.628708,-73.976646,POINT (-73.976646 40.628708)
40.6261773,-73.9764106,POINT (-73.9764106 40.6261773)
40.6261971,-73.9761687,POINT (-73.9761687 40.6261971)
40.624263,-73.976049,POINT (-73.976049 40.624263)
40.624301,-73.975817,POINT (-73.975817 40.624301)
40.620797,-73.975479,POINT (-73.975479 40.620797)
40.6211888,-73.9754707,POINT (-73.9754707 40.6211888)
40.6208412,-73.9751501,POINT (-73.9751501 40.6208412)
40.6161563,-73.9745128,POINT (-73.9745128 40.6161563)
40.6161843,-73.9742754,POINT (-73.9742754 40.6161843)
40.6142815,-73.9741652,POINT (-73.9741652 40.6142815)
40.614304,-73.97391,POINT (-73.97391 40.614304)
40.608615,-73.973097,POINT (-73.973097 40.608615)
40.609041,-73.972904,POINT (-73.972904 40.609041)
40.602197,-73.97264,POINT (-73.97264 40.602197)
40.602178,-73.972379,POINT (-73.972379 40.602178)
40.6040675,-73.9723734,POINT (-73.9723734 40.6040675)
40.6040527,-73.9721405,POINT (-73.9721405 40.6040527)
40.5950561,-73.9736337,POINT (-73.9736337 40.5950561)
40.596701,-73.973402,POINT (-73.973402 40.596701)
40.595027,-73.973382,POINT (-73.973382 40.595027)
40.596897,-73.973137,POINT (-73.973137 40.596897)
40.5905319,-73.9742703,POINT (-73.9742703 40.5905319)
40.590266,-73.974051,POINT (-73.974051 40.590266)
40.5809192,-73.9746771,POINT (-73.9746771 40.5809192)
40.5809125,-73.9745086,POINT (-73.9745086 40.5809125)
40.8678352,-73.9214448,POINT (-73.9214448 40.8678352)
40.8675148,-73.9213476,POINT (-73.9213476 40.8675148)
40.867892,-73.921234,POINT (-73.921234 40.867892)
40.8676606,-73.9209393,POINT (-73.9209393 40.8676606)
40.8682937,-73.9196148,POINT (-73.9196148 40.8682937)
40.8680441,-73.9192915,POINT (-73.9192915 40.8680441)
40.865367,-73.9280766,POINT (-73.9280766 40.865367)
40.8652721,-73.9274779,POINT (-73.9274779 40.8652721)
40.8658077,-73.9273508,POINT (-73.9273508 40.8658077)
40.8652071,-73.9272452,POINT (-73.9272452 40.8652071)
40.8657641,-73.9270702,POINT (-73.9270702 40.8657641)
40.8654582,-73.9270362,POINT (-73.9270362 40.8654582)
40.8653515,-73.9269725,POINT (-73.9269725 40.8653515)
40.858902,-73.9342217,POINT (-73.9342217 40.858902)
40.858899,-73.932702,POINT (-73.932702 40.858899)
40.8508848,-73.9385335,POINT (-73.9385335 40.8508848)
40.8507955,-73.9384747,POINT (-73.9384747 40.8507955)
40.8506956,-73.9382451,POINT (-73.9382451 40.8506956)
40.8507602,-73.9380902,POINT (-73.9380902 40.8507602)
40.852759,-73.936636,POINT (-73.936636 40.852759)
40.8529297,-73.9374299,POINT (-73.9374299 40.8529297)
40.8463795,-73.9402964,POINT (-73.9402964 40.8463795)
40.8464212,-73.9398567,POINT (-73.9398567 40.8464212)
40.8478249,-73.939798,POINT (-73.939798 40.8478249)
40.8479603,-73.9396895,POINT (-73.9396895 40.8479603)
40.8480045,-73.939575,POINT (-73.939575 40.8480045)
40.8479668,-73.9393756,POINT (-73.9393756 40.8479668)
40.8478741,-73.9392845,POINT (-73.9392845 40.8478741)
40.8481362,-73.9393681,POINT (-73.9393681 40.8481362)
40.8418738,-73.939572,POINT (-73.939572 40.8418738)
40.8419367,-73.9394614,POINT (-73.9394614 40.8419367)
40.8407547,-73.9392446,POINT (-73.9392446 40.8407547)
40.8417771,-73.9390663,POINT (-73.9390663 40.8417771)
40.8407386,-73.9394342,POINT (-73.9394342 40.8407386)
40.835192,-73.940146,POINT (-73.940146 40.835192)
40.8358559,-73.9400923,POINT (-73.9400923 40.8358559)
40.835291,-73.9396266,POINT (-73.9396266 40.835291)
40.830875,-73.9416528,POINT (-73.9416528 40.830875)
40.8307797,-73.9415935,POINT (-73.9415935 40.8307797)
40.8311232,-73.9415596,POINT (-73.9415596 40.8311232)
40.8311566,-73.9414537,POINT (-73.9414537 40.8311566)
40.8310439,-73.9411527,POINT (-73.9411527 40.8310439)
40.8309304,-73.9411061,POINT (-73.9411061 40.8309304)
40.8171366,-73.948229,POINT (-73.948229 40.8171366)
40.8168892,-73.9479548,POINT (-73.9479548 40.8168892)
40.8169097,-73.9478184,POINT (-73.9478184 40.8169097)
40.8172018,-73.9476887,POINT (-73.9476887 40.8172018)
40.8185182,-73.9475789,POINT (-73.9475789 40.8185182)
40.8183718,-73.947201,POINT (-73.947201 40.8183718)
40.8106533,-73.9528842,POINT (-73.9528842 40.8106533)
40.8110144,-73.952615,POINT (-73.952615 40.8110144)
40.8105235,-73.9525916,POINT (-73.9525916 40.8105235)
40.8108896,-73.9523308,POINT (-73.9523308 40.8108896)
40.812002,-73.9517467,POINT (-73.9517467 40.812002)
40.8118703,-73.9513473,POINT (-73.9513473 40.8118703)
40.8107815,-73.9528525,POINT (-73.9528525 40.8107815)
40.80433,-73.9556383,POINT (-73.9556383 40.80433)
40.8046561,-73.9555601,POINT (-73.9555601 40.8046561)
40.8041847,-73.9551335,POINT (-73.9551335 40.8041847)
40.8044406,-73.9550429,POINT (-73.9550429 40.8044406)
40.8000144,-73.9588852,POINT (-73.9588852 40.8000144)
40.8008738,-73.9584206,POINT (-73.9584206 40.8008738)
40.8000042,-73.9584074,POINT (-73.9584074 40.8000042)
40.7962977,-73.9616715,POINT (-73.9616715 40.7962977)
40.7916384,-73.9649398,POINT (-73.9649398 40.7916384)
40.7922926,-73.9644275,POINT (-73.9644275 40.7922926)
40.7926081,-73.9643213,POINT (-73.9643213 40.7926081)
40.7852968,-73.969672,POINT (-73.969672 40.7852968)
40.78521,-73.9695929,POINT (-73.9695929 40.78521)
40.7855033,-73.9694622,POINT (-73.9694622 40.7855033)
40.7861364,-73.9690231,POINT (-73.9690231 40.7861364)
40.7867828,-73.9684492,POINT (-73.9684492 40.7867828)
40.7803452,-73.9731888,POINT (-73.9731888 40.7803452)
40.7808674,-73.9728943,POINT (-73.9728943 40.7808674)
40.7819909,-73.972034,POINT (-73.972034 40.7819909)
40.782254,-73.971741,POINT (-73.971741 40.782254)
40.7749488,-73.9771817,POINT (-73.9771817 40.7749488)
40.7762139,-73.976297,POINT (-73.976297 40.7762139)
40.7764555,-73.975976,POINT (-73.975976 40.7764555)
40.7667708,-73.9833664,POINT (-73.9833664 40.7667708)
